sheet,asset,proxy_symbol,status,original_start,original_end,proxy_start,proxy_end,rows_added,notes
국가,S&P 500,^GSPC,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
국가,러셀 3000,^RUA,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
국가,니케이 225,^N225,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,항셍,^HSI,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,홍콩 H,^HSCE,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,대만 가권,^TWII,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,상해종합,000001.SS,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,영국 FTSE 100,^FTSE,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,프랑스 CAC 40,^FCHI,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,독일 DAX,^GDAXI,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,KOSPI,^KS11,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
국가,인도 SENSEX,^BSESN,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-17,107,
섹터,에너지,XLE,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,화학,XLB,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,금속및광물,XME,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,기타 소재,XLB,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,건설,ITB,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,기타자본재,XLI,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,상업서비스,XLI,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,운송,IYT,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,자동차및부품,CARZ,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,내구소비재및의류,XLY,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,소비자서비스,XLY,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,미디어,VOX,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,유통,XRT,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,음식료및담배,XLP,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,생활용품,XLP,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,의료,XLV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,은행,KBE,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,보험,KIE,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,증권,IAI,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,기타금융,XLF,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,소프트웨어,IGV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,하드웨어,VGT,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,반도체,SOXX,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,디스플레이,VGT,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,통신서비스,IYZ,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
섹터,유틸리티,XLU,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,블루칩30,DIA,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,모멘텀,MTUM,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-15,107,
팩터,경기방어주,USMV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,고배당주,VYM,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,베타플러스,SPHB,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,Low Vol,SPLV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,배당성장,VIG,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,Big Vol 지수,IWM,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,FnGuide 컨트래리안,VTV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,FnGuide 퀄리티밸류 지수,QUAL,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-15,107,
팩터,대형가치,VTV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,대형성장,VUG,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,대형순수가치,RPV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,대형순수성장,RPG,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중형가치,IWS,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중형성장,IWP,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중형순수가치,IJJ,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중형순수성장,IJK,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,소형가치,IWN,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,소형성장,IWO,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,소형순수가치,IJS,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,소형순수성장,IJT,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중대형가치,IUSV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중대형성장,IUSG,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중대형순수가치,RPV,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중대형순수성장,RPG,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중소형가치,IWN,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중소형순수가치,IJS,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중소형성장,IWO,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
팩터,중소형순수성장,IJT,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
채권,채권,IEF,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
채권,20년채권,TLT,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
채권,채권인버스,TBF,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
현금,현금,BIL,ok,2001-01-31,2017-07-11,2017-06-27,2026-06-16,107,
